CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM,2150,0.0195,0,0.0195,4,particles,537.5,mag(B),data/GEM_2150_0.0195_0_0.0195_4_particles_537.5_mag(B).vtu
GEM,2151,0.0195,0,0.0195,4,particles,537.75,mag(B),data/GEM_2151_0.0195_0_0.0195_4_particles_537.75_mag(B).vtu
GEM,2152,0.0195,0,0.0195,4,particles,538,mag(B),data/GEM_2152_0.0195_0_0.0195_4_particles_538_mag(B).vtu
GEM,2153,0.0195,0,0.0195,4,particles,538.25,mag(B),data/GEM_2153_0.0195_0_0.0195_4_particles_538.25_mag(B).vtu
GEM,2154,0.0195,0,0.0195,4,particles,538.5,mag(B),data/GEM_2154_0.0195_0_0.0195_4_particles_538.5_mag(B).vtu
GEM,2155,0.0195,0,0.0195,4,particles,538.75,mag(B),data/GEM_2155_0.0195_0_0.0195_4_particles_538.75_mag(B).vtu
GEM,2156,0.0195,0,0.0195,4,particles,539,mag(B),data/GEM_2156_0.0195_0_0.0195_4_particles_539_mag(B).vtu
GEM,2157,0.0195,0,0.0195,4,particles,539.25,mag(B),data/GEM_2157_0.0195_0_0.0195_4_particles_539.25_mag(B).vtu
GEM,2158,0.0195,0,0.0195,4,particles,539.5,mag(B),data/GEM_2158_0.0195_0_0.0195_4_particles_539.5_mag(B).vtu
GEM,2159,0.0195,0,0.0195,4,particles,539.75,mag(B),data/GEM_2159_0.0195_0_0.0195_4_particles_539.75_mag(B).vtu
GEM,2160,0.0195,0,0.0195,4,particles,540,mag(B),data/GEM_2160_0.0195_0_0.0195_4_particles_540_mag(B).vtu
GEM,2161,0.0195,0,0.0195,4,particles,540.25,mag(B),data/GEM_2161_0.0195_0_0.0195_4_particles_540.25_mag(B).vtu
GEM,2162,0.0195,0,0.0195,4,particles,540.5,mag(B),data/GEM_2162_0.0195_0_0.0195_4_particles_540.5_mag(B).vtu
GEM,2163,0.0195,0,0.0195,4,particles,540.75,mag(B),data/GEM_2163_0.0195_0_0.0195_4_particles_540.75_mag(B).vtu
GEM,2164,0.0195,0,0.0195,4,particles,541,mag(B),data/GEM_2164_0.0195_0_0.0195_4_particles_541_mag(B).vtu
GEM,2165,0.0195,0,0.0195,4,particles,541.25,mag(B),data/GEM_2165_0.0195_0_0.0195_4_particles_541.25_mag(B).vtu
GEM,2166,0.0195,0,0.0195,4,particles,541.5,mag(B),data/GEM_2166_0.0195_0_0.0195_4_particles_541.5_mag(B).vtu
GEM,2167,0.0195,0,0.0195,4,particles,541.75,mag(B),data/GEM_2167_0.0195_0_0.0195_4_particles_541.75_mag(B).vtu
GEM,2168,0.0195,0,0.0195,4,particles,542,mag(B),data/GEM_2168_0.0195_0_0.0195_4_particles_542_mag(B).vtu
GEM,2169,0.0195,0,0.0195,4,particles,542.25,mag(B),data/GEM_2169_0.0195_0_0.0195_4_particles_542.25_mag(B).vtu
GEM,2170,0.0195,0,0.0195,4,particles,542.5,mag(B),data/GEM_2170_0.0195_0_0.0195_4_particles_542.5_mag(B).vtu
GEM,2171,0.0195,0,0.0195,4,particles,542.75,mag(B),data/GEM_2171_0.0195_0_0.0195_4_particles_542.75_mag(B).vtu
GEM,2172,0.0195,0,0.0195,4,particles,543,mag(B),data/GEM_2172_0.0195_0_0.0195_4_particles_543_mag(B).vtu
GEM,2173,0.0195,0,0.0195,4,particles,543.25,mag(B),data/GEM_2173_0.0195_0_0.0195_4_particles_543.25_mag(B).vtu
GEM,2174,0.0195,0,0.0195,4,particles,543.5,mag(B),data/GEM_2174_0.0195_0_0.0195_4_particles_543.5_mag(B).vtu
GEM,2175,0.0195,0,0.0195,4,particles,543.75,mag(B),data/GEM_2175_0.0195_0_0.0195_4_particles_543.75_mag(B).vtu
GEM,2176,0.0195,0,0.0195,4,particles,544,mag(B),data/GEM_2176_0.0195_0_0.0195_4_particles_544_mag(B).vtu
GEM,2177,0.0195,0,0.0195,4,particles,544.25,mag(B),data/GEM_2177_0.0195_0_0.0195_4_particles_544.25_mag(B).vtu
