CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM,2048,0.0195,0,0,4,particles,512,mag(B),data/GEM_2048_0.0195_0_0_4_particles_512_mag(B).vtu
GEM,2049,0.0195,0,0,4,particles,512.25,mag(B),data/GEM_2049_0.0195_0_0_4_particles_512.25_mag(B).vtu
GEM,2050,0.0195,0,0,4,particles,512.5,mag(B),data/GEM_2050_0.0195_0_0_4_particles_512.5_mag(B).vtu
GEM,2051,0.0195,0,0,4,particles,512.75,mag(B),data/GEM_2051_0.0195_0_0_4_particles_512.75_mag(B).vtu
GEM,2052,0.0195,0,0,4,particles,513,mag(B),data/GEM_2052_0.0195_0_0_4_particles_513_mag(B).vtu
GEM,2053,0.0195,0,0,4,particles,513.25,mag(B),data/GEM_2053_0.0195_0_0_4_particles_513.25_mag(B).vtu
GEM,2054,0.0195,0,0,4,particles,513.5,mag(B),data/GEM_2054_0.0195_0_0_4_particles_513.5_mag(B).vtu
GEM,2055,0.0195,0,0,4,particles,513.75,mag(B),data/GEM_2055_0.0195_0_0_4_particles_513.75_mag(B).vtu
GEM,2056,0.0195,0,0,4,particles,514,mag(B),data/GEM_2056_0.0195_0_0_4_particles_514_mag(B).vtu
GEM,2057,0.0195,0,0,4,particles,514.25,mag(B),data/GEM_2057_0.0195_0_0_4_particles_514.25_mag(B).vtu
GEM,2058,0.0195,0,0,4,particles,514.5,mag(B),data/GEM_2058_0.0195_0_0_4_particles_514.5_mag(B).vtu
GEM,2059,0.0195,0,0,4,particles,514.75,mag(B),data/GEM_2059_0.0195_0_0_4_particles_514.75_mag(B).vtu
GEM,2060,0.0195,0,0,4,particles,515,mag(B),data/GEM_2060_0.0195_0_0_4_particles_515_mag(B).vtu
GEM,2061,0.0195,0,0,4,particles,515.25,mag(B),data/GEM_2061_0.0195_0_0_4_particles_515.25_mag(B).vtu
GEM,2062,0.0195,0,0,4,particles,515.5,mag(B),data/GEM_2062_0.0195_0_0_4_particles_515.5_mag(B).vtu
GEM,2063,0.0195,0,0,4,particles,515.75,mag(B),data/GEM_2063_0.0195_0_0_4_particles_515.75_mag(B).vtu
GEM,2064,0.0195,0,0,4,particles,516,mag(B),data/GEM_2064_0.0195_0_0_4_particles_516_mag(B).vtu
GEM,2065,0.0195,0,0,4,particles,516.25,mag(B),data/GEM_2065_0.0195_0_0_4_particles_516.25_mag(B).vtu
GEM,2066,0.0195,0,0,4,particles,516.5,mag(B),data/GEM_2066_0.0195_0_0_4_particles_516.5_mag(B).vtu
GEM,2067,0.0195,0,0,4,particles,516.75,mag(B),data/GEM_2067_0.0195_0_0_4_particles_516.75_mag(B).vtu
GEM,2068,0.0195,0,0,4,particles,517,mag(B),data/GEM_2068_0.0195_0_0_4_particles_517_mag(B).vtu
GEM,2069,0.0195,0,0,4,particles,517.25,mag(B),data/GEM_2069_0.0195_0_0_4_particles_517.25_mag(B).vtu
GEM,2070,0.0195,0,0,4,particles,517.5,mag(B),data/GEM_2070_0.0195_0_0_4_particles_517.5_mag(B).vtu
GEM,2071,0.0195,0,0,4,particles,517.75,mag(B),data/GEM_2071_0.0195_0_0_4_particles_517.75_mag(B).vtu
GEM,2072,0.0195,0,0,4,particles,518,mag(B),data/GEM_2072_0.0195_0_0_4_particles_518_mag(B).vtu
GEM,2073,0.0195,0,0,4,particles,518.25,mag(B),data/GEM_2073_0.0195_0_0_4_particles_518.25_mag(B).vtu
GEM,2074,0.0195,0,0,4,particles,518.5,mag(B),data/GEM_2074_0.0195_0_0_4_particles_518.5_mag(B).vtu
GEM,2075,0.0195,0,0,4,particles,518.75,mag(B),data/GEM_2075_0.0195_0_0_4_particles_518.75_mag(B).vtu
GEM,2076,0.0195,0,0,4,particles,519,mag(B),data/GEM_2076_0.0195_0_0_4_particles_519_mag(B).vtu
GEM,2077,0.0195,0,0,4,particles,519.25,mag(B),data/GEM_2077_0.0195_0_0_4_particles_519.25_mag(B).vtu
GEM,2078,0.0195,0,0,4,particles,519.5,mag(B),data/GEM_2078_0.0195_0_0_4_particles_519.5_mag(B).vtu
GEM,2079,0.0195,0,0,4,particles,519.75,mag(B),data/GEM_2079_0.0195_0_0_4_particles_519.75_mag(B).vtu
GEM,2080,0.0195,0,0,4,particles,520,mag(B),data/GEM_2080_0.0195_0_0_4_particles_520_mag(B).vtu
GEM,2081,0.0195,0,0,4,particles,520.25,mag(B),data/GEM_2081_0.0195_0_0_4_particles_520.25_mag(B).vtu
GEM,2082,0.0195,0,0,4,particles,520.5,mag(B),data/GEM_2082_0.0195_0_0_4_particles_520.5_mag(B).vtu
GEM,2083,0.0195,0,0,4,particles,520.75,mag(B),data/GEM_2083_0.0195_0_0_4_particles_520.75_mag(B).vtu
GEM,2084,0.0195,0,0,4,particles,521,mag(B),data/GEM_2084_0.0195_0_0_4_particles_521_mag(B).vtu
GEM,2085,0.0195,0,0,4,particles,521.25,mag(B),data/GEM_2085_0.0195_0_0_4_particles_521.25_mag(B).vtu
GEM,2086,0.0195,0,0,4,particles,521.5,mag(B),data/GEM_2086_0.0195_0_0_4_particles_521.5_mag(B).vtu
GEM,2087,0.0195,0,0,4,particles,521.75,mag(B),data/GEM_2087_0.0195_0_0_4_particles_521.75_mag(B).vtu
GEM,2088,0.0195,0,0,4,particles,522,mag(B),data/GEM_2088_0.0195_0_0_4_particles_522_mag(B).vtu
GEM,2089,0.0195,0,0,4,particles,522.25,mag(B),data/GEM_2089_0.0195_0_0_4_particles_522.25_mag(B).vtu
GEM,2090,0.0195,0,0,4,particles,522.5,mag(B),data/GEM_2090_0.0195_0_0_4_particles_522.5_mag(B).vtu
GEM,2091,0.0195,0,0,4,particles,522.75,mag(B),data/GEM_2091_0.0195_0_0_4_particles_522.75_mag(B).vtu
GEM,2092,0.0195,0,0,4,particles,523,mag(B),data/GEM_2092_0.0195_0_0_4_particles_523_mag(B).vtu
GEM,2093,0.0195,0,0,4,particles,523.25,mag(B),data/GEM_2093_0.0195_0_0_4_particles_523.25_mag(B).vtu
GEM,2094,0.0195,0,0,4,particles,523.5,mag(B),data/GEM_2094_0.0195_0_0_4_particles_523.5_mag(B).vtu
GEM,2095,0.0195,0,0,4,particles,523.75,mag(B),data/GEM_2095_0.0195_0_0_4_particles_523.75_mag(B).vtu
GEM,2096,0.0195,0,0,4,particles,524,mag(B),data/GEM_2096_0.0195_0_0_4_particles_524_mag(B).vtu
GEM,2097,0.0195,0,0,4,particles,524.25,mag(B),data/GEM_2097_0.0195_0_0_4_particles_524.25_mag(B).vtu
GEM,2098,0.0195,0,0,4,particles,524.5,mag(B),data/GEM_2098_0.0195_0_0_4_particles_524.5_mag(B).vtu
GEM,2099,0.0195,0,0,4,particles,524.75,mag(B),data/GEM_2099_0.0195_0_0_4_particles_524.75_mag(B).vtu
GEM,2100,0.0195,0,0,4,particles,525,mag(B),data/GEM_2100_0.0195_0_0_4_particles_525_mag(B).vtu
GEM,2101,0.0195,0,0,4,particles,525.25,mag(B),data/GEM_2101_0.0195_0_0_4_particles_525.25_mag(B).vtu
GEM,2102,0.0195,0,0,4,particles,525.5,mag(B),data/GEM_2102_0.0195_0_0_4_particles_525.5_mag(B).vtu
GEM,2103,0.0195,0,0,4,particles,525.75,mag(B),data/GEM_2103_0.0195_0_0_4_particles_525.75_mag(B).vtu
GEM,2104,0.0195,0,0,4,particles,526,mag(B),data/GEM_2104_0.0195_0_0_4_particles_526_mag(B).vtu
GEM,2105,0.0195,0,0,4,particles,526.25,mag(B),data/GEM_2105_0.0195_0_0_4_particles_526.25_mag(B).vtu
GEM,2106,0.0195,0,0,4,particles,526.5,mag(B),data/GEM_2106_0.0195_0_0_4_particles_526.5_mag(B).vtu
GEM,2107,0.0195,0,0,4,particles,526.75,mag(B),data/GEM_2107_0.0195_0_0_4_particles_526.75_mag(B).vtu
GEM,2108,0.0195,0,0,4,particles,527,mag(B),data/GEM_2108_0.0195_0_0_4_particles_527_mag(B).vtu
GEM,2109,0.0195,0,0,4,particles,527.25,mag(B),data/GEM_2109_0.0195_0_0_4_particles_527.25_mag(B).vtu
GEM,2110,0.0195,0,0,4,particles,527.5,mag(B),data/GEM_2110_0.0195_0_0_4_particles_527.5_mag(B).vtu
GEM,2111,0.0195,0,0,4,particles,527.75,mag(B),data/GEM_2111_0.0195_0_0_4_particles_527.75_mag(B).vtu
GEM,2112,0.0195,0,0,4,particles,528,mag(B),data/GEM_2112_0.0195_0_0_4_particles_528_mag(B).vtu
GEM,2113,0.0195,0,0,4,particles,528.25,mag(B),data/GEM_2113_0.0195_0_0_4_particles_528.25_mag(B).vtu
GEM,2114,0.0195,0,0,4,particles,528.5,mag(B),data/GEM_2114_0.0195_0_0_4_particles_528.5_mag(B).vtu
GEM,2115,0.0195,0,0,4,particles,528.75,mag(B),data/GEM_2115_0.0195_0_0_4_particles_528.75_mag(B).vtu
GEM,2116,0.0195,0,0,4,particles,529,mag(B),data/GEM_2116_0.0195_0_0_4_particles_529_mag(B).vtu
GEM,2117,0.0195,0,0,4,particles,529.25,mag(B),data/GEM_2117_0.0195_0_0_4_particles_529.25_mag(B).vtu
GEM,2118,0.0195,0,0,4,particles,529.5,mag(B),data/GEM_2118_0.0195_0_0_4_particles_529.5_mag(B).vtu
GEM,2119,0.0195,0,0,4,particles,529.75,mag(B),data/GEM_2119_0.0195_0_0_4_particles_529.75_mag(B).vtu
GEM,2120,0.0195,0,0,4,particles,530,mag(B),data/GEM_2120_0.0195_0_0_4_particles_530_mag(B).vtu
