CaseName,Step,B0x,B0y,B0z,ns,__CatalystChannel__,TimeStep,ScalarField,FILE
GEM,1700,0.0195,0,0,2,particles,425,mag(B),data/GEM_1700_0.0195_0_0_2_particles_425_mag(B).vtu
GEM,1701,0.0195,0,0,2,particles,425.25,mag(B),data/GEM_1701_0.0195_0_0_2_particles_425.25_mag(B).vtu
GEM,1702,0.0195,0,0,2,particles,425.5,mag(B),data/GEM_1702_0.0195_0_0_2_particles_425.5_mag(B).vtu
GEM,1703,0.0195,0,0,2,particles,425.75,mag(B),data/GEM_1703_0.0195_0_0_2_particles_425.75_mag(B).vtu
GEM,1704,0.0195,0,0,2,particles,426,mag(B),data/GEM_1704_0.0195_0_0_2_particles_426_mag(B).vtu
GEM,1705,0.0195,0,0,2,particles,426.25,mag(B),data/GEM_1705_0.0195_0_0_2_particles_426.25_mag(B).vtu
GEM,1706,0.0195,0,0,2,particles,426.5,mag(B),data/GEM_1706_0.0195_0_0_2_particles_426.5_mag(B).vtu
GEM,1707,0.0195,0,0,2,particles,426.75,mag(B),data/GEM_1707_0.0195_0_0_2_particles_426.75_mag(B).vtu
GEM,1708,0.0195,0,0,2,particles,427,mag(B),data/GEM_1708_0.0195_0_0_2_particles_427_mag(B).vtu
GEM,1709,0.0195,0,0,2,particles,427.25,mag(B),data/GEM_1709_0.0195_0_0_2_particles_427.25_mag(B).vtu
GEM,1710,0.0195,0,0,2,particles,427.5,mag(B),data/GEM_1710_0.0195_0_0_2_particles_427.5_mag(B).vtu
GEM,1711,0.0195,0,0,2,particles,427.75,mag(B),data/GEM_1711_0.0195_0_0_2_particles_427.75_mag(B).vtu
GEM,1712,0.0195,0,0,2,particles,428,mag(B),data/GEM_1712_0.0195_0_0_2_particles_428_mag(B).vtu
GEM,1713,0.0195,0,0,2,particles,428.25,mag(B),data/GEM_1713_0.0195_0_0_2_particles_428.25_mag(B).vtu
GEM,1714,0.0195,0,0,2,particles,428.5,mag(B),data/GEM_1714_0.0195_0_0_2_particles_428.5_mag(B).vtu
GEM,1715,0.0195,0,0,2,particles,428.75,mag(B),data/GEM_1715_0.0195_0_0_2_particles_428.75_mag(B).vtu
GEM,1716,0.0195,0,0,2,particles,429,mag(B),data/GEM_1716_0.0195_0_0_2_particles_429_mag(B).vtu
GEM,1717,0.0195,0,0,2,particles,429.25,mag(B),data/GEM_1717_0.0195_0_0_2_particles_429.25_mag(B).vtu
GEM,1718,0.0195,0,0,2,particles,429.5,mag(B),data/GEM_1718_0.0195_0_0_2_particles_429.5_mag(B).vtu
GEM,1719,0.0195,0,0,2,particles,429.75,mag(B),data/GEM_1719_0.0195_0_0_2_particles_429.75_mag(B).vtu
GEM,1720,0.0195,0,0,2,particles,430,mag(B),data/GEM_1720_0.0195_0_0_2_particles_430_mag(B).vtu
GEM,1721,0.0195,0,0,2,particles,430.25,mag(B),data/GEM_1721_0.0195_0_0_2_particles_430.25_mag(B).vtu
GEM,1722,0.0195,0,0,2,particles,430.5,mag(B),data/GEM_1722_0.0195_0_0_2_particles_430.5_mag(B).vtu
GEM,1723,0.0195,0,0,2,particles,430.75,mag(B),data/GEM_1723_0.0195_0_0_2_particles_430.75_mag(B).vtu
GEM,1724,0.0195,0,0,2,particles,431,mag(B),data/GEM_1724_0.0195_0_0_2_particles_431_mag(B).vtu
GEM,1725,0.0195,0,0,2,particles,431.25,mag(B),data/GEM_1725_0.0195_0_0_2_particles_431.25_mag(B).vtu
GEM,1726,0.0195,0,0,2,particles,431.5,mag(B),data/GEM_1726_0.0195_0_0_2_particles_431.5_mag(B).vtu
GEM,1727,0.0195,0,0,2,particles,431.75,mag(B),data/GEM_1727_0.0195_0_0_2_particles_431.75_mag(B).vtu
GEM,1728,0.0195,0,0,2,particles,432,mag(B),data/GEM_1728_0.0195_0_0_2_particles_432_mag(B).vtu
GEM,1729,0.0195,0,0,2,particles,432.25,mag(B),data/GEM_1729_0.0195_0_0_2_particles_432.25_mag(B).vtu
GEM,1730,0.0195,0,0,2,particles,432.5,mag(B),data/GEM_1730_0.0195_0_0_2_particles_432.5_mag(B).vtu
GEM,1731,0.0195,0,0,2,particles,432.75,mag(B),data/GEM_1731_0.0195_0_0_2_particles_432.75_mag(B).vtu
GEM,1732,0.0195,0,0,2,particles,433,mag(B),data/GEM_1732_0.0195_0_0_2_particles_433_mag(B).vtu
GEM,1733,0.0195,0,0,2,particles,433.25,mag(B),data/GEM_1733_0.0195_0_0_2_particles_433.25_mag(B).vtu
GEM,1734,0.0195,0,0,2,particles,433.5,mag(B),data/GEM_1734_0.0195_0_0_2_particles_433.5_mag(B).vtu
GEM,1735,0.0195,0,0,2,particles,433.75,mag(B),data/GEM_1735_0.0195_0_0_2_particles_433.75_mag(B).vtu
GEM,1736,0.0195,0,0,2,particles,434,mag(B),data/GEM_1736_0.0195_0_0_2_particles_434_mag(B).vtu
GEM,1737,0.0195,0,0,2,particles,434.25,mag(B),data/GEM_1737_0.0195_0_0_2_particles_434.25_mag(B).vtu
GEM,1738,0.0195,0,0,2,particles,434.5,mag(B),data/GEM_1738_0.0195_0_0_2_particles_434.5_mag(B).vtu
GEM,1739,0.0195,0,0,2,particles,434.75,mag(B),data/GEM_1739_0.0195_0_0_2_particles_434.75_mag(B).vtu
GEM,1740,0.0195,0,0,2,particles,435,mag(B),data/GEM_1740_0.0195_0_0_2_particles_435_mag(B).vtu
GEM,1741,0.0195,0,0,2,particles,435.25,mag(B),data/GEM_1741_0.0195_0_0_2_particles_435.25_mag(B).vtu
GEM,1742,0.0195,0,0,2,particles,435.5,mag(B),data/GEM_1742_0.0195_0_0_2_particles_435.5_mag(B).vtu
GEM,1743,0.0195,0,0,2,particles,435.75,mag(B),data/GEM_1743_0.0195_0_0_2_particles_435.75_mag(B).vtu
GEM,1744,0.0195,0,0,2,particles,436,mag(B),data/GEM_1744_0.0195_0_0_2_particles_436_mag(B).vtu
GEM,1745,0.0195,0,0,2,particles,436.25,mag(B),data/GEM_1745_0.0195_0_0_2_particles_436.25_mag(B).vtu
GEM,1746,0.0195,0,0,2,particles,436.5,mag(B),data/GEM_1746_0.0195_0_0_2_particles_436.5_mag(B).vtu
GEM,1747,0.0195,0,0,2,particles,436.75,mag(B),data/GEM_1747_0.0195_0_0_2_particles_436.75_mag(B).vtu
GEM,1748,0.0195,0,0,2,particles,437,mag(B),data/GEM_1748_0.0195_0_0_2_particles_437_mag(B).vtu
GEM,1749,0.0195,0,0,2,particles,437.25,mag(B),data/GEM_1749_0.0195_0_0_2_particles_437.25_mag(B).vtu
GEM,1750,0.0195,0,0,2,particles,437.5,mag(B),data/GEM_1750_0.0195_0_0_2_particles_437.5_mag(B).vtu
GEM,1751,0.0195,0,0,2,particles,437.75,mag(B),data/GEM_1751_0.0195_0_0_2_particles_437.75_mag(B).vtu
GEM,1752,0.0195,0,0,2,particles,438,mag(B),data/GEM_1752_0.0195_0_0_2_particles_438_mag(B).vtu
GEM,1753,0.0195,0,0,2,particles,438.25,mag(B),data/GEM_1753_0.0195_0_0_2_particles_438.25_mag(B).vtu
GEM,1754,0.0195,0,0,2,particles,438.5,mag(B),data/GEM_1754_0.0195_0_0_2_particles_438.5_mag(B).vtu
GEM,1755,0.0195,0,0,2,particles,438.75,mag(B),data/GEM_1755_0.0195_0_0_2_particles_438.75_mag(B).vtu
GEM,1756,0.0195,0,0,2,particles,439,mag(B),data/GEM_1756_0.0195_0_0_2_particles_439_mag(B).vtu
GEM,1757,0.0195,0,0,2,particles,439.25,mag(B),data/GEM_1757_0.0195_0_0_2_particles_439.25_mag(B).vtu
GEM,1758,0.0195,0,0,2,particles,439.5,mag(B),data/GEM_1758_0.0195_0_0_2_particles_439.5_mag(B).vtu
GEM,1759,0.0195,0,0,2,particles,439.75,mag(B),data/GEM_1759_0.0195_0_0_2_particles_439.75_mag(B).vtu
GEM,1760,0.0195,0,0,2,particles,440,mag(B),data/GEM_1760_0.0195_0_0_2_particles_440_mag(B).vtu
GEM,1761,0.0195,0,0,2,particles,440.25,mag(B),data/GEM_1761_0.0195_0_0_2_particles_440.25_mag(B).vtu
GEM,1762,0.0195,0,0,2,particles,440.5,mag(B),data/GEM_1762_0.0195_0_0_2_particles_440.5_mag(B).vtu
GEM,1763,0.0195,0,0,2,particles,440.75,mag(B),data/GEM_1763_0.0195_0_0_2_particles_440.75_mag(B).vtu
GEM,1764,0.0195,0,0,2,particles,441,mag(B),data/GEM_1764_0.0195_0_0_2_particles_441_mag(B).vtu
GEM,1765,0.0195,0,0,2,particles,441.25,mag(B),data/GEM_1765_0.0195_0_0_2_particles_441.25_mag(B).vtu
GEM,1766,0.0195,0,0,2,particles,441.5,mag(B),data/GEM_1766_0.0195_0_0_2_particles_441.5_mag(B).vtu
GEM,1767,0.0195,0,0,2,particles,441.75,mag(B),data/GEM_1767_0.0195_0_0_2_particles_441.75_mag(B).vtu
GEM,1768,0.0195,0,0,2,particles,442,mag(B),data/GEM_1768_0.0195_0_0_2_particles_442_mag(B).vtu
GEM,1769,0.0195,0,0,2,particles,442.25,mag(B),data/GEM_1769_0.0195_0_0_2_particles_442.25_mag(B).vtu
GEM,1770,0.0195,0,0,2,particles,442.5,mag(B),data/GEM_1770_0.0195_0_0_2_particles_442.5_mag(B).vtu
GEM,1771,0.0195,0,0,2,particles,442.75,mag(B),data/GEM_1771_0.0195_0_0_2_particles_442.75_mag(B).vtu
GEM,1772,0.0195,0,0,2,particles,443,mag(B),data/GEM_1772_0.0195_0_0_2_particles_443_mag(B).vtu
GEM,1773,0.0195,0,0,2,particles,443.25,mag(B),data/GEM_1773_0.0195_0_0_2_particles_443.25_mag(B).vtu
GEM,1774,0.0195,0,0,2,particles,443.5,mag(B),data/GEM_1774_0.0195_0_0_2_particles_443.5_mag(B).vtu
GEM,1775,0.0195,0,0,2,particles,443.75,mag(B),data/GEM_1775_0.0195_0_0_2_particles_443.75_mag(B).vtu
GEM,1776,0.0195,0,0,2,particles,444,mag(B),data/GEM_1776_0.0195_0_0_2_particles_444_mag(B).vtu
GEM,1777,0.0195,0,0,2,particles,444.25,mag(B),data/GEM_1777_0.0195_0_0_2_particles_444.25_mag(B).vtu
GEM,1778,0.0195,0,0,2,particles,444.5,mag(B),data/GEM_1778_0.0195_0_0_2_particles_444.5_mag(B).vtu
GEM,1779,0.0195,0,0,2,particles,444.75,mag(B),data/GEM_1779_0.0195_0_0_2_particles_444.75_mag(B).vtu
GEM,1780,0.0195,0,0,2,particles,445,mag(B),data/GEM_1780_0.0195_0_0_2_particles_445_mag(B).vtu
